g,date,bop,pa,ab,r,h,d,t,hr,rbi,sb,cs,bb,so,hbp,sf,sh
77,2026-06-20,1,5,4,1,2,0,0,1,2,0,0,1,2,0,0,0
78,2026-06-23,1,5,3,1,1,0,0,1,3,0,0,2,2,0,0,0
79,2026-06-24,1,5,4,1,1,0,0,0,0,0,0,1,3,0,0,0
80,2026-06-24,1,6,5,0,2,0,0,0,1,0,0,1,2,0,0,0
81,2026-06-25,1,5,5,0,2,1,0,0,1,0,0,0,1,0,0,0
82,2026-06-26,1,4,3,1,0,0,0,0,0,0,0,1,2,0,0,0
83,2026-06-27,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0
84,2026-06-28,1,5,2,1,0,0,0,0,0,2,0,3,1,0,0,0
85,2026-06-29,1,5,3,1,2,0,0,0,0,0,0,2,0,0,0,0
86,2026-06-30,1,5,4,2,1,0,0,1,1,0,0,1,1,0,0,0
87,2026-07-01,1,4,4,2,2,0,0,1,3,1,0,0,1,0,0,0
88,2026-07-03,1,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0
89,2026-07-04,1,4,1,0,1,0,0,0,0,0,1,2,0,1,0,0
90,2026-07-05,1,5,4,1,2,0,0,0,0,2,0,0,1,1,0,0
91,2026-07-07,1,5,5,0,2,0,0,0,1,0,0,0,1,0,0,0
92,2026-07-08,1,5,4,3,2,0,0,2,2,0,0,1,2,0,0,0
93,2026-07-09,1,4,3,1,1,1,0,0,0,0,0,1,1,0,0,0
94,2026-07-10,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0
95,2026-07-11,1,5,3,0,0,0,0,0,0,0,0,2,2,0,0,0
96,2026-07-12,1,5,3,2,1,0,0,0,1,1,0,2,0,0,0,0
97,2026-07-17,1,4,3,1,0,0,0,0,0,1,0,1,1,0,0,0
98,2026-07-18,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0
99,2026-07-19,1,4,4,1,1,1,0,0,0,0,0,0,2,0,0,0
100,2026-07-20,1,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0
101,2026-07-21,1,5,2,1,2,0,1,0,2,0,0,3,0,0,0,0
102,2026-07-22,1,4,3,0,0,0,0,0,0,0,0,0,2,1,0,0
103,2026-07-24,1,5,4,1,2,1,0,1,1,0,0,1,2,0,0,0
104,2026-07-25,1,5,5,3,4,2,0,1,3,1,0,0,1,0,0,0
105,2026-07-26,1,5,5,0,1,0,1,0,1,0,0,0,2,0,0,0
106,2026-07-27,1,5,3,0,0,0,0,0,0,0,1,2,2,0,0,0
107,2026-07-28,1,5,4,0,0,0,0,0,1,0,0,0,3,0,1,0
108,2026-07-29,1,5,5,1,1,0,0,1,2,0,0,0,0,0,0,0
109,2026-07-30,1,5,5,0,2,2,0,0,0,0,0,0,2,0,0,0
110,2026-07-31,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0
111,2026-08-01,1,4,3,2,1,0,1,0,1,0,0,1,1,0,0,0
112,2026-08-02,1,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0
113,2026-08-03,1,5,4,2,1,0,0,0,0,0,0,1,1,0,0,0
114,2026-08-04,1,4,4,1,2,0,0,0,1,2,0,0,2,0,0,0
115,2026-08-05,1,5,5,2,3,1,0,2,4,0,0,0,1,0,0,0
116,2026-08-06,1,5,5,2,2,0,0,0,0,1,0,0,2,0,0,0
117,2026-08-07,1,5,3,2,1,0,0,0,2,1,0,2,1,0,0,0
118,2026-08-08,1,5,3,0,0,0,0,0,0,0,0,2,2,0,0,0
119,2026-08-09,1,6,5,2,1,1,0,0,0,0,0,1,2,0,0,0
120,2026-08-11,1,5,5,1,1,0,0,1,1,0,0,0,1,0,0,0
121,2026-08-12,1,6,6,1,1,1,0,0,1,0,0,0,3,0,0,0
122,2026-08-13,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0
123,2026-08-14,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2026-08-15,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2026-08-16,1,5,5,1,1,0,0,1,2,0,0,0,3,0,0,0
126,2026-08-17,1,6,5,2,4,1,0,2,3,1,0,1,1,0,0,0
127,2026-08-18,1,5,3,1,1,0,0,1,1,0,0,2,1,0,0,0
128,2026-08-19,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0
129,2026-08-21,1,5,4,1,1,0,0,1,1,0,0,1,0,0,0,0
130,2026-08-22,1,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0
131,2026-08-23,1,5,4,2,2,0,0,1,3,1,0,1,1,0,0,0
132,2026-08-24,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2026-08-25,1,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
134,2026-08-26,1,4,4,0,1,1,0,0,0,0,0,0,3,0,0,0
135,2026-08-28,1,5,5,0,2,0,0,0,0,0,0,0,1,0,0,0
136,2026-08-29,1,6,6,4,4,0,0,3,6,0,0,0,0,0,0,0
137,2026-08-30,1,5,5,2,2,0,0,2,2,0,0,0,1,0,0,0
138,2026-08-31,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0
139,2026-09-01,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0
140,2026-09-02,1,5,3,2,1,0,0,0,0,0,0,2,1,0,0,0
141,2026-09-03,1,4,4,1,1,0,0,1,2,0,0,0,1,0,0,0
142,2026-09-04,1,5,4,2,1,1,0,0,0,1,0,1,1,0,0,0
143,2026-09-05,1,5,4,0,1,0,0,0,1,0,0,1,2,0,0,0
144,2026-09-06,1,4,3,1,1,0,0,1,2,0,0,0,0,0,1,0
145,2026-09-07,1,5,4,2,2,0,0,1,1,2,0,0,0,1,0,0
146,2026-09-08,1,5,5,0,1,0,0,0,0,1,0,0,2,0,0,0
147,2026-09-09,1,4,3,2,1,0,0,0,0,0,0,1,1,0,0,0
148,2026-09-11,1,5,4,1,1,0,0,0,1,0,0,1,1,0,0,0
149,2026-09-12,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0
150,2026-09-13,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0
